"","treatmentSoya_CON","treatmentSoya_BB","treatmentSoya_MT","treatmentMaz_CON","treatmentMaz_BB","treatmentMaz_MT","treatmentTom_CON","treatmentTom_BB","treatmentTom_MT"
"treatmentSoya_CON",2.006,0.399,0.532,0.049,-0.15,-0.356,-0.385,0.056,-0.113
"treatmentSoya_BB",0.252,1.276,0.69,-0.561,-0.251,-0.328,-0.447,-0.304,-0.242
"treatmentSoya_MT",0.369,0.588,1.113,-0.617,-0.387,-0.586,-0.429,-0.178,-0.181
"treatmentMaz_CON",0.01,-0.299,-0.349,3.152,1.781,1.473,0.311,0.645,0.427
"treatmentMaz_BB",-0.082,-0.151,-0.243,0.637,2.569,1.318,0.056,0.151,0.078
"treatmentMaz_MT",-0.225,-0.264,-0.481,0.697,0.688,1.472,0.219,0.225,0.224
"treatmentTom_CON",-0.253,-0.359,-0.369,0.149,0.029,0.158,1.457,0.321,0.342
"treatmentTom_BB",0.028,-0.302,-0.198,0.375,0.098,0.196,0.268,1.01,0.496
"treatmentTom_MT",-0.104,-0.266,-0.219,0.262,0.056,0.209,0.305,0.534,0.877
